Item Name,Item ID,Item meta,Has NBT,Display Name
HardcoreEnderExpansion:end_powder_ore,811,0,FALSE,End Powder Ore
HardcoreEnderExpansion:stardust_ore,817,0,FALSE,Stardust Ore
HardcoreEnderExpansion:igneous_rock_ore,828,0,FALSE,Igneous Rock Ore
HardcoreEnderExpansion:endium_ore,831,0,FALSE,Endium Ore
HardcoreEnderExpansion:instability_orb_ore,858,0,FALSE,Instability Orb Ore
bartworks:bw.blockores.01,3128,1,FALSE,Bismutite Ore
bartworks:bw.blockores.01,3128,2,FALSE,Bismuthinite Ore
bartworks:bw.blockores.01,3128,5,FALSE,Fluor-Buergerite Ore
bartworks:bw.blockores.01,3128,7,FALSE,Chromo-Alumino-Povondraite Ore
bartworks:bw.blockores.01,3128,8,FALSE,Vanadio-Oxy-Dravite Ore
bartworks:bw.blockores.01,3128,9,FALSE,Olenite Ore
bartworks:bw.blockores.01,3128,10,FALSE,Arsenopyrite Ore
bartworks:bw.blockores.01,3128,11,FALSE,Ferberite Ore
bartworks:bw.blockores.01,3128,12,FALSE,Loellingite Ore
bartworks:bw.blockores.01,3128,13,FALSE,Roquesite Ore
bartworks:bw.blockores.01,3128,14,FALSE,Bornite Ore
bartworks:bw.blockores.01,3128,15,FALSE,Wittichenite Ore
bartworks:bw.blockores.01,3128,16,FALSE,Djurleite Ore
bartworks:bw.blockores.01,3128,17,FALSE,Huebnerite Ore
bartworks:bw.blockores.01,3128,18,FALSE,Thorianite Ore
bartworks:bw.blockores.01,3128,19,FALSE,Red Zircon Ore
bartworks:bw.blockores.01,3128,23,FALSE,Fayalite Ore
bartworks:bw.blockores.01,3128,24,FALSE,Forsterite Ore
bartworks:bw.blockores.01,3128,25,FALSE,Hedenbergite Ore
bartworks:bw.blockores.01,3128,26,FALSE,Red Descloizite Ore
bartworks:bw.blockores.01,3128,27,FALSE,Orange Descloizite Ore
bartworks:bw.blockores.01,3128,28,FALSE,Green Fuchsite Ore
bartworks:bw.blockores.01,3128,29,FALSE,Red Fuchsite Ore
bartworks:bw.blockores.01,3128,35,FALSE,Prasiolite Ore
bartworks:bw.blockores.01,3128,43,FALSE,BArTiMaEuSNeK Ore
bartworks:bw.blockores.01,3128,47,FALSE,Platinum Metallic Powder Ore
bartworks:bw.blockores.01,3128,53,FALSE,Palladium Metallic Powder Ore
bartworks:bw.blockores.01,3128,60,FALSE,Leach Residue Ore
bartworks:bw.blockores.01,3128,69,FALSE,Rarest Metal Residue Ore
bartworks:bw.blockores.01,3128,70,FALSE,Iridium Metal Residue Ore
bartworks:bw.blockores.01,3128,79,FALSE,Crude Rhodium Metal Ore
bartworks:bw.blockores.01,3128,89,FALSE,Tiberium Ore
bartworks:bw.blockores.01,3128,91,FALSE,Fluorspar Ore
bartworks:bw.blockores.01,3128,93,FALSE,Atheneite Ore
bartworks:bw.blockores.01,3128,94,FALSE,Temagamite Ore
bartworks:bw.blockores.01,3128,95,FALSE,Terlinguaite Ore
bartworks:bw.blockores.01,3128,10023,FALSE,Orundum Ore
bartworks:bw.blockores.01,3128,10054,FALSE,Naquadah Oxide Mixture Ore
bartworks:bw.blockores.01,3128,10067,FALSE,Enriched-Naquadah Oxide Mixture Ore
