Item Name,Item ID,Item meta,Has NBT,Display Name
bartworks:gt.bwMetaGeneratedrawOre,11596,1,FALSE,Raw Bismutite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,2,FALSE,Raw Bismuthinite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,5,FALSE,Raw Fluor-Buergerite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,7,FALSE,Raw Chromo-Alumino-Povondraite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,8,FALSE,Raw Vanadio-Oxy-Dravite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,9,FALSE,Raw Olenite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,10,FALSE,Raw Arsenopyrite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,11,FALSE,Raw Ferberite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,12,FALSE,Raw Loellingite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,13,FALSE,Raw Roquesite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,14,FALSE,Raw Bornite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,15,FALSE,Raw Wittichenite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,16,FALSE,Raw Djurleite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,17,FALSE,Raw Huebnerite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,18,FALSE,Raw Thorianite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,19,FALSE,Raw Red Zircon Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,23,FALSE,Raw Fayalite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,24,FALSE,Raw Forsterite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,25,FALSE,Raw Hedenbergite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,26,FALSE,Raw Red Descloizite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,27,FALSE,Raw Orange Descloizite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,28,FALSE,Raw Green Fuchsite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,29,FALSE,Raw Red Fuchsite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,35,FALSE,Raw Prasiolite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,43,FALSE,Raw BArTiMaEuSNeK Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,47,FALSE,Raw Platinum Metallic Powder Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,53,FALSE,Raw Palladium Metallic Powder Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,60,FALSE,Raw Leach Residue Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,69,FALSE,Raw Rarest Metal Residue Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,70,FALSE,Raw Iridium Metal Residue Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,79,FALSE,Raw Crude Rhodium Metal Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,89,FALSE,Raw Tiberium Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,91,FALSE,Raw Fluorspar Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,93,FALSE,Raw Atheneite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,94,FALSE,Raw Temagamite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,95,FALSE,Raw Terlinguaite Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,10023,FALSE,Raw Orundum Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,10054,FALSE,Raw Naquadah Oxide Mixture Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,10067,FALSE,Raw Enriched-Naquadah Oxide Mixture Ore
bartworks:gt.bwMetaGeneratedrawOre,11596,10072,FALSE,Raw Naquadria Oxide Mixture Ore
gregtech:gt.metaitem.03,6955,5006,FALSE,Raw Lithium Ore
gregtech:gt.metaitem.03,6955,5008,FALSE,Raw Beryllium Ore
gregtech:gt.metaitem.03,6955,5018,FALSE,Raw Magnesium Ore
gregtech:gt.metaitem.03,6955,5019,FALSE,Raw Aluminium Ore
gregtech:gt.metaitem.03,6955,5020,FALSE,Raw Raw Silicon Ore
gregtech:gt.metaitem.03,6955,5022,FALSE,Raw Sulfur Ore
gregtech:gt.metaitem.03,6955,5027,FALSE,Raw Scandium Ore
gregtech:gt.metaitem.03,6955,5028,FALSE,Raw Titanium Ore
gregtech:gt.metaitem.03,6955,5029,FALSE,Raw Vanadium Ore
